# ----------------------------------------
# Todos los datos de sitios web
# Ubicación
# 20200101-20230726
# ----------------------------------------

País,Usuarios,Usuarios nuevos,Sesiones,Porcentaje de rebote,Páginas/sesión,Duración media de la sesión,Tasa de conversión del objetivo,Objetivos cumplidos,Valor del objetivo
India,56.606,57.040,67.293,"82,77 %","1,46",00:01:13,"0,00 %",0,"0,00 US$"
United States,27.281,27.245,39.345,"71,27 %","2,10",00:01:51,"0,00 %",0,"0,00 US$"
Mexico,10.758,10.833,15.901,"75,96 %","1,68",00:01:40,"0,00 %",0,"0,00 US$"
United Kingdom,9.113,9.121,12.475,"74,09 %","1,87",00:01:34,"0,00 %",0,"0,00 US$"
Spain,8.976,9.080,13.610,"66,07 %","2,36",00:02:03,"0,00 %",0,"0,00 US$"
Australia,5.301,5.302,9.191,"67,67 %","2,35",00:02:24,"0,00 %",0,"0,00 US$"
Canada,5.151,5.151,7.381,"73,85 %","1,98",00:01:42,"0,00 %",0,"0,00 US$"
Pakistan,4.157,4.161,5.252,"81,91 %","1,43",00:01:15,"0,00 %",0,"0,00 US$"
Argentina,3.678,3.701,5.325,"71,83 %","1,94",00:01:44,"0,00 %",0,"0,00 US$"
Colombia,3.407,3.417,5.098,"72,64 %","1,79",00:01:40,"0,00 %",0,"0,00 US$"
China,2.878,2.829,3.940,"58,86 %","2,22",00:02:18,"0,00 %",0,"0,00 US$"
Germany,2.825,2.808,4.012,"72,91 %","2,14",00:01:41,"0,00 %",0,"0,00 US$"
Philippines,2.399,2.416,3.258,"79,34 %","1,52",00:01:33,"0,00 %",0,"0,00 US$"
Türkiye,2.147,2.154,2.977,"71,35 %","2,17",00:02:10,"0,00 %",0,"0,00 US$"
South Korea,2.006,2.013,2.533,"71,97 %","2,39",00:01:37,"0,00 %",0,"0,00 US$"
Peru,1.988,1.995,2.913,"72,23 %","1,89",00:01:54,"0,00 %",0,"0,00 US$"
Italy,1.729,1.728,2.825,"61,91 %","2,74",00:02:35,"0,00 %",0,"0,00 US$"
Brazil,1.562,1.578,2.244,"66,00 %","2,32",00:02:03,"0,00 %",0,"0,00 US$"
Bangladesh,1.535,1.543,1.991,"81,67 %","1,51",00:01:12,"0,00 %",0,"0,00 US$"
Chile,1.510,1.511,2.177,"66,24 %","2,31",00:02:03,"0,00 %",0,"0,00 US$"
France,1.455,1.442,2.185,"67,51 %","2,29",00:01:54,"0,00 %",0,"0,00 US$"
Netherlands,1.450,1.429,1.987,"70,76 %","2,21",00:01:50,"0,00 %",0,"0,00 US$"
Hong Kong,1.356,1.328,2.006,"71,59 %","2,04",00:02:22,"0,00 %",0,"0,00 US$"
Nigeria,1.333,1.340,1.737,"73,75 %","1,76",00:02:02,"0,00 %",0,"0,00 US$"
Indonesia,1.292,1.297,2.048,"74,12 %","1,81",00:02:05,"0,00 %",0,"0,00 US$"
Japan,1.279,1.280,1.764,"62,07 %","2,52",00:01:55,"0,00 %",0,"0,00 US$"
Israel,1.248,1.249,1.749,"73,24 %","2,08",00:02:04,"0,00 %",0,"0,00 US$"
Ecuador,1.214,1.218,1.747,"70,35 %","1,84",00:01:51,"0,00 %",0,"0,00 US$"
Russia,1.112,1.114,1.596,"65,79 %","2,36",00:01:56,"0,00 %",0,"0,00 US$"
Malaysia,1.030,1.036,1.488,"75,81 %","1,72",00:01:43,"0,00 %",0,"0,00 US$"
Taiwan,1.023,1.018,1.287,"78,63 %","1,74",00:01:20,"0,00 %",0,"0,00 US$"
Switzerland,1.006,1.001,1.428,"75,63 %","1,74",00:01:13,"0,00 %",0,"0,00 US$"
South Africa,1.005,1.012,1.269,"79,28 %","1,65",00:01:22,"0,00 %",0,"0,00 US$"
Poland,976,980,1.352,"70,78 %","2,01",00:01:50,"0,00 %",0,"0,00 US$"
Singapore,970,957,1.302,"77,50 %","2,10",00:01:22,"0,00 %",0,"0,00 US$"
Kenya,958,956,1.147,"80,21 %","1,62",00:01:35,"0,00 %",0,"0,00 US$"
Sweden,929,934,1.620,"73,89 %","2,00",00:02:15,"0,00 %",0,"0,00 US$"
Iran,839,823,1.112,"80,94 %","1,49",00:01:13,"0,00 %",0,"0,00 US$"
Iraq,788,787,1.118,"76,48 %","1,84",00:02:03,"0,00 %",0,"0,00 US$"
Greece,714,717,1.121,"69,58 %","2,25",00:01:52,"0,00 %",0,"0,00 US$"
Sri Lanka,668,669,810,"81,98 %","1,46",00:01:06,"0,00 %",0,"0,00 US$"
Thailand,668,676,851,"70,27 %","2,04",00:01:56,"0,00 %",0,"0,00 US$"
Venezuela,655,657,843,"69,87 %","1,80",00:01:16,"0,00 %",0,"0,00 US$"
Dominican Republic,651,649,959,"83,11 %","1,41",00:01:16,"0,00 %",0,"0,00 US$"
Ethiopia,640,647,761,"75,30 %","1,73",00:01:44,"0,00 %",0,"0,00 US$"
Denmark,625,627,873,"75,03 %","2,02",00:02:00,"0,00 %",0,"0,00 US$"
Saudi Arabia,579,584,886,"73,93 %","1,88",00:01:21,"0,00 %",0,"0,00 US$"
Norway,574,572,870,"78,05 %","1,90",00:01:35,"0,00 %",0,"0,00 US$"
Egypt,562,566,820,"76,22 %","1,77",00:01:47,"0,00 %",0,"0,00 US$"
Ireland,561,557,918,"66,67 %","2,06",00:02:33,"0,00 %",0,"0,00 US$"
Bolivia,558,561,823,"69,38 %","1,75",00:01:44,"0,00 %",0,"0,00 US$"
Belgium,523,520,694,"67,87 %","2,45",00:01:35,"0,00 %",0,"0,00 US$"
Vietnam,520,527,728,"69,23 %","2,18",00:01:56,"0,00 %",0,"0,00 US$"
Finland,494,496,699,"77,40 %","1,84",00:01:23,"0,00 %",0,"0,00 US$"
Portugal,465,464,696,"67,53 %","2,67",00:02:20,"0,00 %",0,"0,00 US$"
Romania,463,465,591,"68,02 %","1,97",00:01:33,"0,00 %",0,"0,00 US$"
Costa Rica,456,458,722,"79,50 %","1,54",00:01:27,"0,00 %",0,"0,00 US$"
Austria,431,432,558,"71,33 %","2,38",00:01:50,"0,00 %",0,"0,00 US$"
United Arab Emirates,412,407,532,"81,20 %","1,64",00:01:13,"0,00 %",0,"0,00 US$"
Czechia,394,394,595,"67,39 %","2,03",00:01:34,"0,00 %",0,"0,00 US$"
Honduras,352,355,522,"75,29 %","1,73",00:01:16,"0,00 %",0,"0,00 US$"
New Zealand,345,341,523,"66,92 %","2,54",00:03:05,"0,00 %",0,"0,00 US$"
Morocco,315,317,664,"57,23 %","2,04",00:01:28,"0,00 %",0,"0,00 US$"
Hungary,292,290,482,"66,60 %","2,20",00:02:10,"0,00 %",0,"0,00 US$"
(not set),291,285,376,"73,67 %","1,85",00:01:40,"0,00 %",0,"0,00 US$"
Ukraine,277,278,500,"68,60 %","2,46",00:01:41,"0,00 %",0,"0,00 US$"
Uruguay,272,271,329,"71,43 %","1,75",00:01:02,"0,00 %",0,"0,00 US$"
Tanzania,251,253,339,"74,34 %","1,81",00:01:42,"0,00 %",0,"0,00 US$"
Ghana,247,248,346,"81,50 %","1,59",00:01:21,"0,00 %",0,"0,00 US$"
Panama,245,245,338,"81,66 %","1,41",00:01:18,"0,00 %",0,"0,00 US$"
Nepal,239,239,294,"72,79 %","1,72",00:01:33,"0,00 %",0,"0,00 US$"
Paraguay,237,238,338,"74,56 %","1,79",00:01:53,"0,00 %",0,"0,00 US$"
Guatemala,234,233,325,"71,08 %","2,17",00:02:23,"0,00 %",0,"0,00 US$"
Croatia,229,227,331,"67,07 %","2,40",00:01:48,"0,00 %",0,"0,00 US$"
Jordan,221,221,295,"83,73 %","1,42",00:01:25,"0,00 %",0,"0,00 US$"
Serbia,209,210,303,"72,28 %","2,21",00:02:02,"0,00 %",0,"0,00 US$"
Kazakhstan,188,189,225,"79,11 %","1,82",00:01:12,"0,00 %",0,"0,00 US$"
Lebanon,176,176,227,"78,41 %","1,65",00:01:40,"0,00 %",0,"0,00 US$"
El Salvador,175,175,282,"79,43 %","1,57",00:01:27,"0,00 %",0,"0,00 US$"
Zambia,174,177,247,"70,85 %","2,58",00:02:34,"0,00 %",0,"0,00 US$"
Algeria,171,176,254,"61,42 %","2,27",00:01:55,"0,00 %",0,"0,00 US$"
Cuba,141,141,202,"68,81 %","1,98",00:02:37,"0,00 %",0,"0,00 US$"
Bulgaria,139,139,192,"67,19 %","2,06",00:01:50,"0,00 %",0,"0,00 US$"
Zimbabwe,138,139,175,"71,43 %","2,41",00:03:01,"0,00 %",0,"0,00 US$"
Slovakia,135,133,186,"74,19 %","1,94",00:02:07,"0,00 %",0,"0,00 US$"
Cyprus,131,131,173,"73,41 %","2,24",00:01:27,"0,00 %",0,"0,00 US$"
Uganda,129,127,154,"73,38 %","1,71",00:01:19,"0,00 %",0,"0,00 US$"
Slovenia,123,123,206,"62,14 %","2,29",00:03:18,"0,00 %",0,"0,00 US$"
Oman,106,105,136,"86,76 %","1,39",00:01:07,"0,00 %",0,"0,00 US$"
Azerbaijan,104,105,172,"77,33 %","1,77",00:01:25,"0,00 %",0,"0,00 US$"
