# ----------------------------------------
# Exportar informe en formato CSV
# Cuenta: Complex Analysis book
# Propiedad: Complex-Analysis - GA4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20220101
# Fecha de finalización: 20230726

País,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
United States,13121,13058,8508,0.4357490396927017,0.6484261870284277,56.2906028503925,90224,0,0
Mexico,8556,8532,7530,0.5770999386879215,0.8800841514726507,99.3148667601683,60864,0,0
India,7989,7957,5523,0.552963556267521,0.6913255726624108,57.643634998122415,46637,0,0
Spain,6422,6443,5905,0.5815442190269844,0.9194954842728122,125.37869822485207,55882,0,0
United Kingdom,4116,4088,2639,0.43888242142025613,0.641156462585034,48.78741496598639,28541,0,0
Argentina,3553,3544,3436,0.6140100071479628,0.9670700816211653,130.16436813960033,29735,0,0
Colombia,2711,2704,2497,0.5816445376193804,0.9210623386204353,104.055330136481,20604,0,0
Australia,2244,2236,2190,0.49761417859577367,0.9759358288770054,95.28030303030303,21762,0,0
Canada,2054,2046,1304,0.44505119453924913,0.634858812074002,45.584225900681595,13277,0,0
China,1781,1710,1286,0.5189669087974172,0.7220662549129703,43.76305446378439,11876,0,0
Peru,1634,1630,1600,0.6281900274833137,0.9791921664626683,161.5966952264382,13230,0,0
Germany,1549,1535,915,0.42917448405253283,0.5907036797934151,50.15429309231762,9547,0,0
Chile,1284,1281,1184,0.5638095238095238,0.9221183800623053,131.46495327102804,11718,0,0
Ecuador,1015,1016,963,0.6192926045016077,0.948768472906404,126.6896551724138,7919,0,0
Italy,976,969,682,0.4732824427480916,0.6987704918032787,59.959016393442624,7191,0,0
Philippines,882,878,699,0.5869017632241813,0.7925170068027211,60.48412698412698,5407,0,0
Netherlands,763,736,531,0.4957983193277311,0.6959370904325033,41.28440366972477,5103,0,0
France,713,699,489,0.5286486486486487,0.6858345021037868,49.698457223001405,4691,0,0
Switzerland,713,708,355,0.35678391959798994,0.49789621318373073,34.051893408134646,3962,0,0
Pakistan,662,657,518,0.5967741935483871,0.7824773413897281,66.13897280966768,3993,0,0
Brazil,636,635,540,0.6006674082313682,0.8490566037735849,72.23270440251572,4967,0,0
South Korea,592,593,389,0.5078328981723238,0.6570945945945946,85.3445945945946,4072,0,0
Venezuela,591,586,469,0.619550858652576,0.7935702199661591,91.18443316412859,3608,0,0
Israel,584,581,476,0.5483870967741935,0.815068493150685,74.9777397260274,4613,0,0
Dominican Republic,580,577,514,0.5520945220193341,0.8862068965517241,107.62068965517241,3822,0,0
Sweden,542,542,326,0.3904191616766467,0.6014760147601476,61.92435424354244,3865,0,0
Bolivia,529,529,505,0.6143552311435523,0.9546313799621928,98.96597353497164,4107,0,0
Russia,492,492,322,0.43869209809264303,0.6544715447154471,44.6239837398374,3214,0,0
Japan,490,483,327,0.44010767160161507,0.6673469387755102,32.861224489795916,3406,0,0
Hong Kong,464,438,356,0.5078459343794579,0.7672413793103449,82.76293103448276,3475,0,0
Poland,464,457,331,0.4896449704142012,0.7133620689655172,87.86637931034483,3713,0,0
Indonesia,459,455,375,0.5699088145896657,0.8169934640522876,84.239651416122,3592,0,0
Turkey,441,439,321,0.5367892976588629,0.7278911564625851,61.480725623582764,2901,0,0
Costa Rica,391,389,376,0.5229485396383866,0.9616368286445013,119.63682864450128,3086,0,0
Taiwan,375,373,270,0.5378486055776892,0.72,48.88,2441,0,0
Kenya,349,346,314,0.7405660377358491,0.8997134670487106,102.60171919770774,2138,0,0
Singapore,344,334,212,0.4559139784946237,0.6162790697674418,40.90406976744186,2171,0,0
Norway,336,332,187,0.34186471663619744,0.5565476190476191,40.607142857142854,2155,0,0
Honduras,310,312,301,0.6377118644067796,0.9709677419354839,92.71290322580646,2323,0,0
Panama,290,289,253,0.6520618556701031,0.8724137931034482,97.37241379310345,1814,0,0
South Africa,277,278,198,0.5103092783505154,0.7148014440433214,75.96028880866426,1855,0,0
Belgium,272,268,187,0.5,0.6875,49.544117647058826,1931,0,0
Vietnam,272,270,239,0.6128205128205129,0.8786764705882353,82.0404411764706,2446,0,0
Bangladesh,268,273,183,0.6182432432432432,0.6828358208955224,69.91417910447761,1660,0,0
Greece,255,255,216,0.5714285714285714,0.8470588235294118,80.75294117647059,2191,0,0
Ireland,254,248,212,0.5145631067961165,0.8346456692913385,166.248031496063,2034,0,0
Nigeria,254,252,181,0.6114864864864865,0.7125984251968503,82.32283464566929,1663,0,0
Denmark,252,250,131,0.39939024390243905,0.5198412698412699,35.20238095238095,1415,0,0
Thailand,243,243,172,0.549520766773163,0.7078189300411523,51.88065843621399,1904,0,0
Romania,236,233,198,0.5892857142857143,0.8389830508474576,46.88135593220339,1629,0,0
Uruguay,234,233,193,0.603125,0.8247863247863247,90.1880341880342,1478,0,0
Malaysia,229,231,162,0.4750733137829912,0.7074235807860262,50.81222707423581,1507,0,0
Finland,228,226,137,0.40294117647058825,0.6008771929824561,45.75438596491228,1401,0,0
Czechia,226,225,151,0.470404984423676,0.668141592920354,36.584070796460175,1450,0,0
Egypt,222,223,162,0.5934065934065934,0.7297297297297297,47.090090090090094,1461,0,0
Paraguay,219,219,183,0.5319767441860465,0.8356164383561644,92.8082191780822,1656,0,0
Portugal,216,216,150,0.4716981132075472,0.6944444444444444,47.226851851851855,1626,0,0
Türkiye,213,213,117,0.49159663865546216,0.5492957746478874,27.131455399061032,1209,0,0
Iraq,210,209,158,0.5146579804560261,0.7523809523809524,64.93333333333334,1490,0,0
Guatemala,205,200,186,0.5904761904761905,0.9073170731707317,123.04878048780488,1939,0,0
Austria,204,205,122,0.46564885496183206,0.5980392156862745,32.8578431372549,1190,0,0
Morocco,197,200,252,0.4827586206896552,1.2791878172588833,50.0507614213198,2614,0,0
Hungary,170,167,135,0.4981549815498155,0.7941176470588235,97.74117647058823,1483,0,0
Iran,170,167,121,0.6335078534031413,0.711764705882353,68.98235294117647,997,0,0
Saudi Arabia,165,166,116,0.5110132158590308,0.703030303030303,46.45454545454545,1123,0,0
El Salvador,145,145,140,0.6140350877192983,0.9655172413793104,102.4,1024,0,0
Ukraine,129,130,81,0.5126582278481012,0.627906976744186,97.17054263565892,814,0,0
New Zealand,126,123,96,0.5454545454545454,0.7619047619047619,67.36507936507937,933,0,0
Ethiopia,120,120,84,0.5833333333333334,0.7,81.3,769,0,0
Cuba,112,111,92,0.5476190476190477,0.8214285714285714,176.90178571428572,930,0,0
United Arab Emirates,100,98,65,0.436241610738255,0.65,36.48,700,0,0
Sri Lanka,87,87,58,0.46774193548387094,0.6666666666666666,63.11494252873563,573,0,0
Zimbabwe,84,78,67,0.7204301075268817,0.7976190476190477,145.47619047619048,620,0,0
Ghana,83,81,64,0.5925925925925926,0.7710843373493976,142.65060240963857,490,0,0
Serbia,78,78,52,0.5473684210526316,0.6666666666666666,32.56410256410256,461,0,0
Luxembourg,71,71,31,0.28440366972477066,0.43661971830985913,40.140845070422536,419,0,0
Puerto Rico,69,69,49,0.5444444444444444,0.7101449275362319,68.56521739130434,414,0,0
Nepal,66,65,40,0.5128205128205128,0.6060606060606061,44.81818181818182,363,0,0
Bulgaria,65,66,47,0.5222222222222223,0.7230769230769231,182.33846153846153,596,0,0
Slovakia,65,65,49,0.5568181818181818,0.7538461538461538,69.06153846153846,427,0,0
Croatia,62,62,58,0.7073170731707317,0.9354838709677419,42.645161290322584,395,0,0
Armenia,59,59,53,0.6022727272727273,0.8983050847457628,48.983050847457626,429,0,0
Kazakhstan,59,58,31,0.41333333333333333,0.5254237288135594,22.084745762711865,317,0,0
Azerbaijan,54,54,33,0.5689655172413793,0.6111111111111112,37.148148148148145,298,0,0
Jordan,54,54,38,0.6129032258064516,0.7037037037037037,37.25925925925926,279,0,0
Tanzania,54,53,41,0.5466666666666666,0.7592592592592593,101.96296296296296,299,0,0
Nicaragua,51,51,55,0.7534246575342466,1.0784313725490196,94.27450980392157,438,0,0
Algeria,50,50,38,0.6551724137931034,0.76,105.44,343,0,0
Lithuania,50,50,38,0.6909090909090909,0.76,88.64,284,0,0
(not set),48,48,17,0.3090909090909091,0.3541666666666667,28.125,227,0,0
Zambia,47,47,41,0.5061728395061729,0.8723404255319149,101.51063829787235,415,0,0
Lebanon,45,43,35,0.5147058823529411,0.7777777777777778,50.355555555555554,245,0,0
Cyprus,43,43,32,0.48484848484848486,0.7441860465116279,55.04651162790697,319,0,0
